Descrição da Solicitação,Propriedade,Arquivos e mídia,Bloqueio,Comentário uMode,Criado em,Criado por,Criticidade,Data da Solicitação,Data de Conclusão,Data de Previsão de Entrega,Etapa,Files & media,Fórmula,Horas - Recurso Específico,Horas de Demanda,ID,Key Account/Responsável,Nível de Esforço,Observações,Prioridade,Projeto,Quem solicitou?,RFI,Responsabilidade,Suporte Integração,Task,Tempo de Resolução,Texto,Tipo de Demanda,Total de Horas,uMode - Macro Tema,Área Responsável,Última edição,👥 Clientes
"Conferir as listas dos campos e hierarquias x admim ",Concluída,,,,13 de outubro de 2025 17:15,Julianne Rodrigues,,,,15 de outubro de 2025,Demanda Concluída,,,,,UMD-661,,,"No preenchimento para teste de integração o time identificou algumas falhas nas listas, como falta de opção e erro de hierarquia. Precisamos conferir se tudo que está na planilha está cadastrado corretamente nas listas do admim.",," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",,,Demanda com uMode,,,,,Integração,,,OPERAÇÃO,16 de outubro de 2025 13:16,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
"Ao empenhar pacotes, aparecem duplicados na lista de empenho ",Concluída,,,,14 de outubro de 2025 13:54,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-664,,,"
LENNY DUPLICAÇÃO materiais por pacote
Fiz um teste aqui do empenho da vix e outros clientes, ao adiconar pacote fica na mesma linha as bolinhas da variante e os materiais do pacote ok 
O exemplo da Lenny está ficando separado duplicado, por qual razão ?
",," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Mariana,,Demanda com uMode,,,,,Suporte,,,,28 de outubro de 2025 10:37,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Trocar grade,Concluída,,,,14 de outubro de 2025 16:59,Ana Paula Ramos,Alta,,,,Demanda Concluída,,,,,UMD-665,,Médio,,,[PUKET] - uFlow (https://app.notion.com/p/PUKET-uFlow-285b1d38e76880a19598eb7397b62a5c?pvs=21),,,Demanda com uMode,,,,,Suporte,,integração,,16 de outubro de 2025 11:38,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21)
Ficha e aba aprovações estampa CORRIDA,Concluída,,,,15 de outubro de 2025 16:01,Julianne Rodrigues,Alta,,17 de outubro de 2025,,Demanda Concluída,,,,"1,5",UMD-667,,Médio,- Cr,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Gabi,,Demanda com uMode,,,,,Configuração,,template de ficha,OPERAÇÃO,10 de novembro de 2025 11:32,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Integração de Imagem (SMB),Encerrada,,,Combinamos de analisar isso após integração de produto finalizada.,15 de outubro de 2025 16:54,Marina Santoro,,,,,Demanda Cancelada,,,,,UMD-668,Marina Santoro,,,,"📌 [LOFTY] - ONBOARDING FASE 1
 (https://app.notion.com/p/LOFTY-ONBOARDING-FASE-1-263b1d38e768803d9e60d7b141be090d?pvs=21)",Gabriela,Lofty | RFI : Escopo - Integração de Imagens de Produto (https://app.notion.com/p/Lofty-RFI-Escopo-Integra-o-de-Imagens-de-Produto-29bb1d38e76880b2bb8aff45a7264842?pvs=21),Demanda com uMode,,,,,Integração,,,,6 de fevereiro de 2026 08:37,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Ajustar backend empenho para integrar ficha técnica,Concluída,,,Aguardando tech externo,15 de outubro de 2025 16:57,Marina Santoro,,15/10/2025,,,Demanda Concluída,,,,,UMD-669,Marina Santoro,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Marina,,Demanda com uMode,,,,,Integração,,integração,OPERAÇÃO,27 de janeiro de 2026 12:09,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Atualizar lista de Grupo e Subgrupo,Concluída,,,,15 de outubro de 2025 16:58,Marina Santoro,,15/10/2025   (BRT),,,Demanda Concluída,,,,,UMD-670,Julianne Rodrigues,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda Pendente do Cliente,,,,,Integração,,integração,OPERAÇÃO,7 de abril de 2026 15:47,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Entender necessidade de integrar Tabela de Medidas (pós intergação v1),Não iniciada,,,Marina: pendente,15 de outubro de 2025 17:05,Marina Santoro,,15/10/2025,,,Backlog,,,,,UMD-672,Marina Santoro,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Negócios,,Demanda com uMode,,,,,Integração,,,TECH,20 de abril de 2026 15:06,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Entender necessidade de integrar Rota (pós intergação v1),Concluída,,,,15 de outubro de 2025 17:06,Marina Santoro,,15/10/2025,,,Demanda Concluída,,,,,UMD-673,Marina Santoro,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Veronica,,Demanda com uMode,,,,,Integração,,,TECH,16 de abril de 2026 15:04,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Ações campos de integração [TEMPLATE TASK],Não iniciada,,,-,15 de outubro de 2025 17:07,Marina Santoro,,15/10/2025   (BRT),,,Backlog,,,,,UMD-674,Marina Santoro,,,,,Marina,,Demanda com uMode,,,,,Integração,,,,20 de abril de 2026 15:06,uMode (https://app.notion.com/p/uMode-d777c7bd6bee41afa8c767bcdeb1eeed?pvs=21)
Produto parado na interface 3,Concluída,,Aguardando Recurso Especial,,15 de outubro de 2025 17:10,Marina Santoro,Crítica / Urgente,11/09/2025,,,Demanda Concluída,,,,,UMD-675,"Marina Santoro, Victor Aragão",,,,,Vanessa,,Demanda com uMode,,,,,Erro/ Bug,,,,3 de fevereiro de 2026 10:21,Reserva (https://app.notion.com/p/Reserva-1be195276d794e1d98a35cddd9d2a508?pvs=21)
Ações campos de integração,Concluída,,,,16 de outubro de 2025 10:21,Marina Santoro,,,,,Demanda Concluída,,,,,UMD-676,Marina Santoro,,,,,Marina,,Demanda com uMode,,,,,Integração,,,OPERAÇÃO,3 de fevereiro de 2026 14:07,Lofty Style (https://app.notion.com/p/Lofty-Style-293c8829d81c44d9ab8360ae66d24aab?pvs=21)
Ações campos de integração,Concluída,,,,16 de outubro de 2025 10:24,Marina Santoro,,,,,Demanda Concluída,,,,,UMD-677,Marina Santoro,,,,,Marina,,Demanda com uMode,,,,,Integração,,,OPERAÇÃO,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Erro ao gerar o código da Umode para o Spi ",Concluída,,,,16 de outubro de 2025 10:50,Andrea Holmer,Alta,15/10/2025,20 de outubro de 2025,,Demanda Concluída,,,,,UMD-678,"Laura Delgado, Andrea Holmer",,,,,Carol,,Demanda com uMode,,21281,,,Erro/ Bug,,,KA,3 de fevereiro de 2026 14:07,Cambos (https://app.notion.com/p/Cambos-d6d48327e33b4105b67b9db4dbb55af1?pvs=21)
Bug - Duplicação de Foto no Check List,Concluída,,,,16 de outubro de 2025 16:45,Andrea Holmer,,14/10/2025,,,Demanda Concluída,,,,,UMD-679,"Laura Delgado, Andrea Holmer",,,,,Mariane / Joyce,,Demanda com uMode,,,,,Erro/ Bug,,,OPERAÇÃO,17 de março de 2026 12:49,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Substituir grades de produtos,Concluída,,,,16 de outubro de 2025 17:28,Ana Paula Ramos,,,,,Demanda Concluída,,,,,UMD-681,Julianne Rodrigues,,,,[PUKET] - uFlow (https://app.notion.com/p/PUKET-uFlow-285b1d38e76880a19598eb7397b62a5c?pvs=21),Catarina,,Demanda com uMode,,,,,Suporte,,,,3 de fevereiro de 2026 14:07,Puket (https://app.notion.com/p/Puket-aae6d54c5f854cc9b890f8c0c120bf0a?pvs=21)
Atualizar listas de campos DESIGN DEMODA e GERENTES,Concluída,,,,17 de outubro de 2025 11:09,Julianne Rodrigues,,15/10/2025,,,Demanda Concluída,,,,,UMD-683,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),,,Demanda com uMode,,,,,Configuração,,template de ficha,,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Faltando, no campo grade, a opção ""39 ao 45 (Calçados)"". Alinhar na integração;",Concluída,,,,17 de outubro de 2025 11:39,Julianne Rodrigues,,15/10/2025,,,Demanda Concluída,,,,,UMD-684,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda com uMode,,,,,Integração,,integração,,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Deixar como padrão na tabela de medidas o cm (ou sempre deixar a que primeiro foi selecionado e incluir mais uma opção de medida :mm milímetros,Encerrada,,,,17 de outubro de 2025 11:44,Julianne Rodrigues,,15/10/2025,,,Demanda Cancelada,,,,,UMD-685,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,tabela de medidas,,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Organizar perfis conforme definição do time osklen ",Concluída,,,Organizar os perfis conforme os grupos coluna - perfil. Aguardando retorno da Marcelle.,17 de outubro de 2025 11:49,Julianne Rodrigues,,15/10/2025,,,Demanda Concluída,,,,,UMD-686,,Baixo,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda Pendente do Cliente,,,,,Suporte,,login,OPERAÇÃO,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Verificar possível bug na marcação do @ na aba de chat ",Concluída,,,"Durante o treinamento, alguns usuários não conseguiram marcar @ os colegas na aba de chat.Aconteceu nesse cliente e em outro. Precisamos investigar.",17 de outubro de 2025 14:12,Julianne Rodrigues,,15/10/2025,,,Demanda Concluída,,,,,UMD-687,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda com uMode,,,,,Erro/ Bug,,template de ficha,OPERAÇÃO,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Ações campos de integração,Concluída,,,,17 de outubro de 2025 14:24,Marina Santoro,,,,,Demanda Concluída,,,,,UMD-688,Marina Santoro,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Marina,,Demanda com uMode,,,,,Integração,,,OPERAÇÃO,3 de fevereiro de 2026 14:07,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Cruzar informações de grupo com variante,Encerrada,,,,17 de outubro de 2025 16:50,Julianne Rodrigues,,17/03/2026,,,Backlog,,,,,UMD-689,,,"Cruzar informações de grupo com variante. Por exemplo, todas as bermudas que temos naquela coleção. Cruzar dados do produto com dados da variante e visualizar eles em coleções separadas.",,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Mariana Maia - Treinamento,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,,OPERAÇÃO,3 de junho de 2026 14:29,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Board de produtos (macroplan),Não iniciada,,,,17 de outubro de 2025 16:57,Julianne Rodrigues,,15/10/2025,,,Análise Cliente,,,,,UMD-690,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Tays pantaleão - Treinamento,,Demanda com uMode,,,,,Configuração,,macroplan,OPERAÇÃO,3 de junho de 2026 17:01,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
No empenho de materiais já puxar a mesma unidade de medida do cadastro desse material (a verificar);,Concluída,,,,20 de outubro de 2025 09:59,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-691,,,,,,,,Demanda com uMode,,,,,Suporte,,,,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Criar aba e campo de modelagem ",Concluída,,,,20 de outubro de 2025 10:07,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-719,,,"
• Criar uma aba chamada:  Modelagem após info gerais  -> e nela criar 1 campo de texto rico chamado: Observações modelagem",," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Mariana,,Demanda com uMode,,,,,Configuração,,template de ficha,,3 de fevereiro de 2026 14:07,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
"Adicionar, na variante, um status de aprovação pois pode ser, no caso de repetições, que haja uma nova cor adicionada e precise de aprovação (usar como modelo o mesmo ""flag"" que tem na checagem da ficha técnica",Concluída,,,,20 de outubro de 2025 10:13,Julianne Rodrigues,,16/10/2025,,,Demanda Concluída,,,,,UMD-693,Julianne Rodrigues,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda com uMode,,,,,Configuração,,template de ficha,,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Grade diferenciada entre o desenvolvimento e compra. LINX aceita apenas o cadastro do que vai comprar. Ajustar o processo;,Concluída,,,,20 de outubro de 2025 10:24,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-694,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Treinamento,,Demanda Pendente do Cliente,,,,,Configuração,,integração,TECH,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Entender a lista de cores: sanitizar e entender possível separação entre MP e aviamentos. Entender a relação com e-commerce;,Encerrada,,,,20 de outubro de 2025 10:24,Julianne Rodrigues,,15/10/2025,,,Demanda Cancelada,,,,,UMD-695,Julianne Rodrigues,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),,,Demanda com uMode,,,,,Suporte,,ficha tecnica,KA,16 de abril de 2026 15:04,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Campo ""Observação"": definir quem é responsável pelo preenchimento - Supply ou Design de Moda e, assim, definir em qual aba deve ficar esse campo na UMODE;",Concluída,,,,20 de outubro de 2025 10:25,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-696,,,O cliente precisa definir quem vai usar esse campo,,,Treinamento,,Demanda Pendente do Cliente,,,,,Suporte,,,KA,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Fazer alinhamento e definição do processo da uso da aba ""Artes"" junto do Pedro (designer): manteremos estampas localizadas, corridas, aviamentos, couro.. definir isso para estar na lista suspensa;",Concluída,,,,20 de outubro de 2025 10:25,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-697,,,,,,,,Demanda Pendente do Cliente,,,,,Suporte,,,KA,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Fazer alinhamento e definição sobre envio do MIX de Produto para criação dos cards da UMODE. Ou se design de moda cria sem a definição prévia de cards com número LINX,Concluída,,,,20 de outubro de 2025 10:26,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-698,,,"Vai ter subida de mix? Se sim, configurar o template de importação.",,,Treinamento,,Demanda com uMode,,,,,Configuração,,,KA,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Processo: Design de Moda não sabe, quando começa a desenvolver, se vai ser Facção ou PA. Sendo assim, não sabem se colocam na aba Materiais (Ficha Técnica) ou Detalhamento, ou seja, o que sobe ou não para LINX. Na reunião de definição de fornecedores já deveriam fazer essa definição. Ou entender como a ferramenta pode ajudar;",Concluída,,,,20 de outubro de 2025 10:28,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-699,,,"Verificar se tem campo para determinar: facção ou PA para o supply indicar ",,,Treinamento,,Demanda Pendente do Cliente,,,,,Suporte,,,KA,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Processo + Tecnologia: quando, em uma coleção, está sendo produzido em um fornecedor e, na outra coleção, em outro. LINX só aceita um campo de fornecedor. Como fazer nesses casos? Também definir se só podemos enviar pedido quando estiver com status Produção;",Concluída,,,,20 de outubro de 2025 10:33,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-700,,,,,,Treinamento,,Demanda Pendente do Cliente,,,,,Suporte,,,KA,3 de fevereiro de 2026 14:07,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Custo de matéria-prima LINX: melhoria já em andamento (Carol). LINX faz um custo médio e não o custo atual negociado; Entender melhoria e como fica relação LINX/UMODE.,Encerrada,,,Aguardando retorno KAs,20 de outubro de 2025 10:35,Julianne Rodrigues,,20/10/2025   (BRT),,,Demanda Cancelada,,,,,UMD-701,,,Entender de onde vem o custo que estamos trazendo e confirmar com o cliente se é esse mesmo OU SE querem trazer outro custo.,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Treinamento,,Demanda Pendente do Cliente,,,,,Integração,,,TECH,7 de abril de 2026 09:25,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Alerta quando mudar a gradação do produto,Não iniciada,,Aguardando momento oportuno,"Será sempre que houver alteração alertar os usuários ",20 de outubro de 2025 10:47,Julianne Rodrigues,,20/10/2025,,,Análise uMode,,,,,UMD-702,,,,5," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Mariana,,Demanda Pendente do Cliente,,,,,Configuração,,action,OPERAÇÃO,20 de março de 2026 14:23,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Botão pra salvar tabela original só quem for autorizada (tirar a permissão pra todo mundo),Concluída,,,,20 de outubro de 2025 10:47,Julianne Rodrigues,,17/10/2025,,,Demanda Concluída,,,,,UMD-703,Julianne Rodrigues,,,4," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",Mariana,,Demanda com uMode,,,,,Melhoria / Desenvolvimento,,pacote de materiais,PRODUTO,3 de fevereiro de 2026 14:07,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Medida do aviamento vir como cadastro do linx para inclusão na FT (empenho),Concluída,,,,20 de outubro de 2025 10:48,Julianne Rodrigues,,,,,Demanda Concluída,,,,,UMD-704,,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,3 de fevereiro de 2026 14:07,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
Criar pacotes de materiais (aviamentos unitários),Não iniciada,,Aguardando momento oportuno,Criar pacotes de materiais (aviamentos unitários),20 de outubro de 2025 11:06,Julianne Rodrigues,,20/10/2025,,,Análise Cliente,,,,,UMD-705,,,,," [LENNY] - uFlow
 (https://app.notion.com/p/LENNY-uFlow-27db1d38e76880cf91edc987a3c0669e?pvs=21)",André,,Demanda Pendente do Cliente,,,,,Configuração,,pacote de materiais,KA,20 de março de 2026 14:16,Lenny Niemeyer (https://app.notion.com/p/Lenny-Niemeyer-b3aad92958894c71b1e1ddd096db52ed?pvs=21)
"Configurar aba de importação de materiais para editar largura, gramatura e rendimento.",Concluída,,,A Patricia solicitou uma forma de editar tecidos em massa para agilizar o processo de cadastro manual das MPS que serão analisadas na coleção.,20 de outubro de 2025 13:12,Julianne Rodrigues,,16/10/2025,,20 de outubro de 2025,Demanda Concluída,,,,"0,5",UMD-706,,,,,[RECCO] - uFlow  (https://app.notion.com/p/RECCO-uFlow-276b1d38e76880729e75c6e1da8df5d5?pvs=21),Patricia,,Demanda com uMode,,,,,Configuração,,importação,KA,3 de fevereiro de 2026 14:07,Recco (https://app.notion.com/p/Recco-1c63ebd232894596b911359ca99cfb60?pvs=21)
"Regra de integração ",Encerrada,,,,21 de outubro de 2025 10:46,Julianne Rodrigues,,21/10/2025   (BRT),,,Demanda Cancelada,,,,,UMD-708,,,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),,,Demanda com uMode,,,,,Integração,,,KA,20 de fevereiro de 2026 09:46,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
Referências geradas incorretamente,Encerrada,,,,21 de outubro de 2025 11:20,Ana Paula Ramos,,21/10/2025,,,Demanda Cancelada,,,,,UMD-710,,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),Samara Santos,,Demanda com uMode,,,,,Erro/ Bug,,,OPERAÇÃO,20 de abril de 2026 17:26,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
Erro ao BUSCAR PROGRAMAÇÕES,Não iniciada,,,,21 de outubro de 2025 15:19,Ana Paula Ramos,Média,21/10/2025,,,Backlog,,,,,UMD-713,,,,,"Gestão de Coleção [NV]
 (https://app.notion.com/p/Gest-o-de-Cole-o-NV-25eb1d38e7688051a72ff04eb7dc0c0f?pvs=21)",Thais,,Demanda com uMode,,,,,Erro/ Bug,,,,3 de fevereiro de 2026 14:03,NV (https://app.notion.com/p/NV-c03ae4eca8ff4260a889b660803b4e26?pvs=21)
Criar playbook (ppt-Osklen) de treinamento FAQ,Concluída,,,"A Ana solicitou um material de apoio para os usuários, ela chamou de “ppt” para treinamento e base de consulta para o time. Um passo a passo uMode + orientações específicas da Osklen com observações em relação às demandas que foram solicitadas , porém não foram executadas neste momento por se tratar de parte default do sistema ou por se tratar de melhoria/desenvolvimento futuro por exemplo. O objetivo é unificar todas as informações /respostas dadas ao time para deixar todo mundo na mesa página sobre a usabilidade da ferramenta.  ",22 de outubro de 2025 15:13,Julianne Rodrigues,Alta,17/10/2025,,,Demanda Concluída,,,,,UMD-714,Julianne Rodrigues,Alto,,,[OSKLEN] - uFlow  (https://app.notion.com/p/OSKLEN-uFlow-276b1d38e76880d2b250dd2abb2bc919?pvs=21),Ana,,Demanda com uMode,,,,,Configuração,,template de ficha,KA,16 de abril de 2026 15:03,Osklen (https://app.notion.com/p/Osklen-6463bb11ee3841b8b948d18b5a71b4d7?pvs=21)
"Revisar listas dos campos custom evento, custom - tipo_de_produto, custom - tipo",Encerrada,,Aguardando o Cliente,"Inativar opções e criar novas  conforme a lista do cliente. ",23 de outubro de 2025 09:31,Julianne Rodrigues,,22/10/2025,,,Demanda Cancelada,,,,,UMD-715,,,,,[CAEDU] - uFlow  (https://app.notion.com/p/CAEDU-uFlow-277b1d38e76880ebbdeee79fac74b68b?pvs=21),Roselene,,Demanda Pendente do Cliente,,,,,Suporte,,template de ficha,OPERAÇÃO,20 de abril de 2026 17:26,Caedu (https://app.notion.com/p/Caedu-275bd52e58df49078f2f3b6dc76a4755?pvs=21)
Importar os novos pacotes de materiais,Concluída,Sem%20t%C3%ADtulo/PACOTES_DE_AVIAMENTOS_OFICINA_27_OUTUBRO.xlsx,,,24 de outubro de 2025 09:54,Laura Delgado,,24/10/2025,,29 de outubro de 2025,Demanda Concluída,,,,,UMD-716,"Laura Delgado, Andrea Holmer",,,,,Mariane,,Demanda com uMode,,,,,Suporte,,,OPERAÇÃO,3 de fevereiro de 2026 14:07,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
Cadastro de Costume,Concluída,"Sem%20t%C3%ADtulo/FT_0101246_COSTUME_MESCLA_CALA.pdf, Sem%20t%C3%ADtulo/FT_0101246_COSTUME_MESCLA_BLAZER.pdf, Sem%20t%C3%ADtulo/0101246_Costume_Mescla_Linx.jpg",,,24 de outubro de 2025 10:22,Laura Delgado,,24/10/2025,,,Em Validação - Cliente,,,,,UMD-717,"Laura Delgado, Andrea Holmer",,,,,Mariane,,Demanda Pendente do Cliente,,,,,Configuração,,,KA,18 de maio de 2026 15:08,Oficina Reserva (https://app.notion.com/p/Oficina-Reserva-a27d12dd1749485488ea17df5dd253ac?pvs=21)
"Ajuste da regra de ordenação do Mapa de Impressão de Linha ",Concluída,Sem%20t%C3%ADtulo/CLASSIFICAES_DE_PRODUTOS_-_TODAS_AS_COLEES_(1).xlsx,,,27 de outubro de 2025 16:58,Laura Delgado,,27/10/2025,,11 de julho de 2025,Demanda Concluída,,,,,UMD-720,"Laura Delgado, Andrea Holmer",,Prioridade do Victor na semana 09/02/26,,,Gustavo e Michelle,,Demanda com uMode,,,,,Configuração,,,OPERAÇÃO,3 de março de 2026 15:53,Luiza Barcelos (https://app.notion.com/p/Luiza-Barcelos-b0c819c0bda449528d9d984b3200f07f?pvs=21)
